"Supplementary Table 7. Chromosome-specific precision and recall for chromatin states assigned using SOM-VN, CAGT, and magnitude-based modeling.",,,,,,,,
Sample,Method,Chromosome,Promoter Precision,Promoter Recall,Enhancer Precision,Enhancer Recall,Weak Precision,Weak Recall
,,15,0.09,1,N/A,N/A,N/A,N/A
,,16,0.11,1,N/A,N/A,N/A,N/A
,,17,0.12,1,N/A,N/A,N/A,N/A
,,18,0.06,1,N/A,N/A,N/A,N/A
,,19,0.17,1,N/A,N/A,N/A,N/A
,,20,0.11,1,N/A,N/A,N/A,N/A
,,21,0.06,1,N/A,N/A,N/A,N/A
,,22,0.12,1,N/A,N/A,N/A,N/A
,,Mean,0.08,1,N/A,N/A,N/A,N/A
,,Stdev,0.03,0,N/A,N/A,N/A,N/A
,SOM-VN (RPKM > 5),1,0.54,0.41,0.38,0.33,0.86,0.9
,,2,0.47,0.37,0.32,0.34,0.9,0.9
,,3,0.46,0.42,0.27,0.33,0.92,0.9
,,4,0.45,0.39,0.21,0.36,0.94,0.9
,,5,0.48,0.4,0.3,0.36,0.92,0.9
,,6,0.58,0.42,0.28,0.31,0.91,0.91
,,7,0.51,0.44,0.32,0.34,0.9,0.9
,,8,0.42,0.38,0.29,0.33,0.91,0.9
,,9,0.48,0.43,0.34,0.32,0.88,0.9
,,10,0.43,0.34,0.35,0.32,0.87,0.89
,,11,0.51,0.42,0.39,0.33,0.87,0.91
,,12,0.52,0.45,0.34,0.33,0.88,0.9
,,13,0.41,0.4,0.22,0.36,0.94,0.89
,,14,0.51,0.42,0.33,0.34,0.88,0.89
,,15,0.53,0.46,0.37,0.35,0.87,0.89
,,16,0.53,0.41,0.46,0.32,0.8,0.89
,,17,0.64,0.37,0.51,0.31,0.73,0.91
,,18,0.42,0.35,0.28,0.33,0.9,0.89
,,19,0.43,0.22,0.33,0.27,0.58,0.75
,,20,0.53,0.38,0.5,0.33,0.78,0.9
,,21,0.42,0.4,0.29,0.31,0.9,0.9
,,22,0.44,0.38,0.57,0.37,0.72,0.87
,,Mean,0.49,0.39,0.34,0.33,0.86,0.89
,,Stdev,0.06,0.05,0.09,0.02,0.09,0.03
,,Difference,-0.01,0.07,-0.03,0.01,0.05,0.01
GM12878,SOM-VN,1,0.66,0.48,N/A,N/A,0.84,0.99
,,2,0.57,0.5,N/A,N/A,0.89,0.99
,,3,0.55,0.52,N/A,N/A,0.89,0.98
,,4,0.47,0.56,N/A,N/A,0.95,0.98
,,5,0.56,0.53,N/A,N/A,0.91,0.99
,,6,0.67,0.46,N/A,N/A,0.87,0.99
,,7,0.57,0.54,N/A,N/A,0.91,0.98
,,8,0.54,0.56,N/A,N/A,0.92,0.98
,,9,0.58,0.54,N/A,N/A,0.88,0.98
,,10,0.59,0.45,N/A,N/A,0.87,0.99
,,11,0.67,0.51,N/A,N/A,0.86,0.99
,,12,0.65,0.47,N/A,N/A,0.86,0.99
,,13,0.47,0.56,N/A,N/A,0.93,0.98
,,14,0.63,0.51,N/A,N/A,0.87,0.99
,,15,0.63,0.48,N/A,N/A,0.83,0.98
,,16,0.65,0.54,N/A,N/A,0.74,0.97
,,17,0.76,0.33,N/A,N/A,0.38,0.92
,,18,0.43,0.56,N/A,N/A,0.92,0.97
,,19,0.71,0.31,N/A,N/A,0.34,0.85
,,20,0.62,0.52,N/A,N/A,0.82,0.98
,,21,0.52,0.6,N/A,N/A,0.92,0.98
,,22,0.67,0.52,N/A,N/A,0.64,0.97
,,Mean,0.6,0.5,N/A,N/A,0.82,0.97
,,Stdev,0.08,0.07,N/A,N/A,0.16,0.03
,CAGT,1,N/A,N/A,N/A,N/A,0.7,1
,,2,N/A,N/A,N/A,N/A,0.86,1
,,3,N/A,N/A,N/A,N/A,0.86,1
,,4,N/A,N/A,N/A,N/A,0.92,1
,,5,N/A,N/A,N/A,N/A,0.88,1
,,6,N/A,N/A,N/A,N/A,0.75,1
,,7,N/A,N/A,N/A,N/A,0.87,1
,,8,N/A,N/A,N/A,N/A,0.89,1
,,9,N/A,N/A,N/A,N/A,0.84,1
,,10,N/A,N/A,N/A,N/A,0.82,1
,,11,N/A,N/A,N/A,N/A,0.71,1
,,12,N/A,N/A,N/A,N/A,0.74,1
,,13,N/A,N/A,N/A,N/A,0.9,1
,,14,N/A,N/A,N/A,N/A,0.81,1
,,15,N/A,N/A,N/A,N/A,0.77,1
,,16,N/A,N/A,N/A,N/A,0.67,1
,,17,N/A,N/A,N/A,N/A,0.34,1
,,18,N/A,N/A,N/A,N/A,0.89,1
,,19,N/A,N/A,N/A,N/A,0.3,1
,,20,N/A,N/A,N/A,N/A,0.7,1
,,21,N/A,N/A,N/A,N/A,0.89,1
,,22,N/A,N/A,N/A,N/A,0.58,1
,,Mean,N/A,N/A,N/A,N/A,0.76,1
,,Stdev,N/A,N/A,N/A,N/A,0.17,0
,Magnitude,1,N/A,N/A,N/A,N/A,0.79,1
,,2,N/A,N/A,N/A,N/A,0.86,1
,,3,N/A,N/A,N/A,N/A,0.85,1
,,4,N/A,N/A,N/A,N/A,0.92,1
,,5,N/A,N/A,N/A,N/A,0.88,1
,,6,N/A,N/A,N/A,N/A,0.84,1
